ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
yuk-424_0,yuk-424,panim,1,m a ʃ - -,
aku-425_0,aku-425,panim,1,m ə - - e,
aku-425_1,aku-425,pl2,2,t͡ʃ a - m o,
apa-426_0,apa-426,panim,1,m o ʃ - -,
apa-426_1,apa-426,pl2,2,- i a m o,
bak-427_0,bak-427,panim,1,- a s - a,
bak-427_1,bak-427,pl2,2,- e - m o,
car-428_0,car-428,panim,1,m ə - - -,
car-428_1,car-428,pl2,2,s a - - -,
hix-429_0,hix-429,panim,1,m o ʃ - -,
hix-429_1,hix-429,pl2,2,- a - m o,
ikp-430_0,ikp-430,panim,1,w - - - -,
ikp-430_1,ikp-430,pl2,2,- a - m -,
kar-431_0,kar-431,panim,1,m o ʔ s e,
kar-431_1,kar-431,pl1,2,k o n -,
kar-432_0,kar-432,panim,1,m oo - - -,
kar-432_1,kar-432,pl2,2,j a - n -,
kar-433_0,kar-433,panim,1,m o ʔ - -,
kar-433_1,kar-433,pl2,2,s a - - -,
kar-433_2,kar-433,emp,3,r o,
kax-434_0,kax-434,panim,1,m o ʔ - -,
kax-434_1,kax-434,pl2,2,t͡ʃ a - - -,
kax-434_2,kax-434,emp,3,r ɨ,
mac-435_1,mac-435,panim,2,n - s - -,
mac-435_2,mac-435,pl2,3,- e - m o,
mac-435_3,mac-435,emp,4,r o,
pan-436_0,pan-436,panim,1,m ə h - -,
pan-436_1,pan-436,pl2,2,t͡ʃ a - n -,
pan-436_2,pan-436,pl3,3,t o n -,
pem-437_1,pem-437,panim,2,ʔ - s - -,
pem-437_2,pem-437,pl2,3,- a - m ə,
pem-437_3,pem-437,emp,4,r ə,
PPar-438_0,PPar-438,panim,1,m o ʔ - -,
PPar-438_1,PPar-438,pl2,2,t͡ʃ a - m o,
PPar-438_2,PPar-438,emp,3,r o,
PPek-439_0,PPek-439,panim,1,m ə t - -,
PPek-439_1,PPek-439,pl2,2,j a - m o,
PTar-440_0,PTar-440,panim,1,m ə t͡ʃ - e,
PTar-440_1,PTar-440,pl2,2,t͡ʃ a - m o,
PWai-441_0,PWai-441,panim,1,m o ʃ - -,
PWai-441_1,PWai-441,pl2,2,- a - m o,
PXin-442_0,PXin-442,panim,1,m o d - -,
PXin-442_1,PXin-442,pl2,2,j a - m -,
tam-443_0,tam-443,panim,1,- - t͡ʃ - -,
tam-443_1,tam-443,pl2,2,- a - m o,
tam-443_2,tam-443,emp,3,r o,
tri-444_0,tri-444,panim,1,m ə - - e,
tri-444_1,tri-444,pl2,2,s a - m o,
uxc-445_0,uxc-445,pl2,1,- a - - -,
uxc-445_1,uxc-445,emp,2,ɣ o,
wai-446_0,wai-446,panim,1,m o ʃ - -,
wai-446_1,wai-446,pl2,2,- a - m -,
way-447_0,way-447,panim,1,m ə h - -,
way-447_1,way-447,pl2,2,- a - m o,
way-448_0,way-448,panim,1,m ə h - -,
way-448_1,way-448,pl2,2,- a - - -,
way-448_2,way-448,emp,3,r ə,
yuk-449_0,yuk-449,panim,1,m a ʃ - -,
yuk-449_1,yuk-449,pl2,2,- a - - -,
way-450_1,way-450,pinan2,2,s - i n - -,
aka-451_0,aka-451,pinan1,1,- s e r ə -,
aku-452_0,aku-452,pinan1,1,t͡ʃ - e r ə -,
apa-453_0,apa-453,pinan1,1,- s e r o -,
ara-454_0,ara-454,pinan1,1,- - e r o -,
bak-455_0,bak-455,pinan1,1,- ʃ i r ə -,
car-456_0,car-456,pinan1,1,- - ə r ə -,
ing-457_0,ing-457,pinan1,1,- s ə r ə -,
kar-458_0,kar-458,pinan1,1,- - e r o -,
kax-459_0,kax-459,pinan1,1,- s o r o -,
mac-460_0,mac-460,pinan1,1,- s ɨ r ɨ -,
mac-460_1,mac-460,emp,2,r ɨ,
mak-461_0,mak-461,pinan1,1,- - e r ə -,
pan-462_0,pan-462,pinan1,1,- - - s ɨ h,
pem-463_0,pem-463,pinan1,1,- s ə r ə -,
PPar-464_0,PPar-464,pinan1,1,- s o r o -,
PPek-465_0,PPek-465,pinan1,1,t͡ʃ - e r ə -,
PPem-466_0,PPem-466,pinan1,1,- s ə r ə -,
PTar-467_0,PTar-467,pinan1,1,t͡ʃ - e r ə -,
PXin-468_0,PXin-468,pinan1,1,- - e r o -,
tri-469_0,tri-469,pinan1,1,- s e r ə -,
uxc-470_0,uxc-470,pinan1,1,- - i ɣ e -,
way-471_0,way-471,pinan1,1,- h e r ə -,
aku-472_0,aku-472,pinan2,1,t͡ʃ - e n ɨ -,
apa-473_0,apa-473,pinan2,1,s - e n ɨ -,
ara-474_0,ara-474,pinan2,1,- - e n - -,
car-475_0,car-475,pinan2,1,- - e n ɨ -,
hix-476_0,hix-476,pinan2,1,- - o n ɨ -,
ikp-477_1,ikp-477,pinan2,2,- - e n - -,
kar-478_0,kar-478,pinan2,1,- - e n ɨ -,
mac-479_0,mac-479,pinan2,1,s - e n i -,
pem-480_0,pem-480,pinan2,1,s - e n ə k,
PPek-481_0,PPek-481,pinan2,1,t͡ʃ - e n - -,
PTar-482_0,PTar-482,pinan2,1,t͡ʃ - e n ɨ -,
PWai-483_0,PWai-483,pinan2,1,- - o n ɨ -,
PXin-484_0,PXin-484,pinan2,1,- - e n - -,
tam-485_0,tam-485,pinan2,1,t͡ʃ - e n e -,
tri-486_0,tri-486,pinan2,1,s - e n ɨ -,
wai-487_0,wai-487,pinan2,1,- - o n - -,
way-488_0,way-488,pinan2,1,s - i n ɨ -,
yab-489_0,yab-489,pinan2,1,s - e n i -,
apa-490_0,apa-490,pinan1,1,- s e r o -,
apa-490_1,apa-490,pl4,2,ʔ n e,
ara-492_0,ara-492,pinan1,1,- - e r o -,
ara-492_1,ara-492,pl1,2,ŋ - m o,
ikp-493_1,ikp-493,pinan2,2,- - e - - -,
ikp-493_2,ikp-493,pl2,3,j a - m -,
ing-494_0,ing-494,pinan1,1,- - - s ə -,
ing-494_1,ing-494,emp,2,r ə,
ing-494_2,ing-494,pl2,3,j a - m ə,
kar-495_0,kar-495,pinan1,1,- - e r o -,
kar-495_1,kar-495,pl1,2,k o n -,
kar-496_0,kar-496,pinan2,1,- - e n ɨ -,
kar-496_1,kar-496,pl1,2,k o n -,
kax-497_0,kax-497,pinan1,1,- s o r o -,
kax-497_1,kax-497,pl4,2,n n e,
pan-498_0,pan-498,pinan1,1,- - - s ɨ h,
pan-498_1,pan-498,pl1,2,k o n -,
way-499_0,way-499,pinan1,1,- h e r ə -,
way-499_1,way-499,pl1,2,k o m o,
way-500_0,way-500,pinan2,1,s - i n - -,
way-500_1,way-500,pl1,2,k o m o,
ing-501_0,ing-501,toto,1,t o ʔ -,
mac-502_0,mac-502,1,1,- - uu,
mac-502_1,mac-502,emp,2,r ɨ,
