ID,Language_ID,Form,Segments,Comment,Source,Parameter_ID
ara-260,ara,mogɨ(n),m o g ɨ + n,,alves2017arara[72],distanim
bak-261,bak,məkə,m ə k ə,,meiraDBbakairi,distanim
car-262,car,məkɨ,m ə k ɨ,,guerrero2019carijo[86],medanim
hix-danim,hix,mokɨ,m o k ɨ,,hixkaryanaderby1985[7],distanim
ikp-264,ikp,ugun,u g u + n,,ikpengpacheco2001[119],distanim
ing-265,ing,mɨkɨ,m ɨ k ɨ,,cruz2005fonologia[191],medanim
kar-266,kar,moʔkɨ,m o ʔ k ɨ,,courtz2008carib[53],distanim
kax-267,kax,mokɨ,m o k ɨ,,,distanim
mak-268,mak,məkkɨ,m ə k k ɨ,,maquiritaricaceres2011[122],distanim
pan-269,pan,muku(h),m u k u h,,panarepayne2013[89],distanim
PPar-270,PPar,mokɨ,m o k ɨ,,,distanim
PPek-271,PPek,məkɨ,m ə k ɨ,,,distanim
PTar-272,PTar,məkɨ,m ə k ɨ,,meira1998proto[67],distanim
PWai-273,PWai,mokɨ,m o k ɨ,,,distanim
PXin-274,PXin,mogɨn,m o g ɨ + n,,,distanim
tam-275,tam,make,m a k e,Probably məkɨ.,meira2002first[269],distanim
tri-276,tri,mə(kɨ),m ə k ɨ,,triomeira1999[154],invisanim
uxc-277,uxc,ekise,e k + i s e,,kuikurodossantos2007[55],distanim
wai-278,wai,mɨkɨ,m ɨ k ɨ,,,distanim
way-279,way,məkɨ,m ə k ɨ,,wayanatavares2005[184],distanim
wmr-280,wmr,mɨkɨ,m ɨ k ɨ,,waimiribruno2003[77],distanim
yuk-281,yuk,ake,a k e,,meira2003primeras,dist
apa-282,apa,mokamo,m o k + a m o,,koehn1986apalai[95],distanimpl
bak-283,bak,akaemo,a k a + e m o,,meiraDBbakairi,distanimpl
car-284,car,məka,m ə k + a,,guerrero2019carijo[86],medanimpl
ikp-286,ikp,ugjam,u g + j a m,,ikpengpacheco2001[119],distanimpl
kar-287,kar,mookɨkon,m oo k ɨ + k o n,,alvarez2016esbozo[53],distanimpl
kar-288,kar,moʔkan,m o ʔ k + a n,,courtz2008carib[53],distanimpl
mak-289,mak,makkamo,m a k k + a m o,,maquiritaricaceres2011[122],distanimpl
pan-290,pan,mukukon,m u k u + k o n,,mattei1994diccionario[139],distanimpl
PPar-291,PPar,mokjamo,m o k + j a m o,,,distanimpl
PPek-292,PPek,məkjamo,m ə k + j a m o,,,distanimpl
PTar-293,PTar,məkjamo,m ə k + j a m o,,meira1998proto[67],distanimpl
PWai-294,PWai,mokjamo,m o k + j a m o,,,distanimpl
PXin-295,PXin,mogjam,m o g + j a m,,,distanimpl
tam-296,tam,mukiamo,m u k + i a m o,Probably mək(ɨ)jamo.,meira2002first[269],distanimpl
tri-297,tri,mə(kɨ)ja(mo),m ə k ɨ + j a m o,,triomeira1999[154],invisanimpl
uxc-298,uxc,akaɣo,a k + a + ɣ o,Assimilation of rə to ro / *-jamo _,kuikurodossantos2007[55],distanimpl
wai-299,wai,mɨkjam,m ɨ k + j a m,,,distanimpl
way-300,way,məkjamo,m ə k + j a m o,,wayanatavares2005[184],distanimpl
yuk-301,yuk,akʃa,a k + ʃ a,,meira2003primeras,distpl
apa-302,apa,monɨ,m o n ɨ,,koehn1986apalai[95],distinan
ara-303,ara,mon,m o n,,alves2017arara[53],distinan
ara-304,ara,mun,m u n,,alves2017arara[93],distinan
car-305,car,mənɨ,m ə n ɨ,,guerrero2019carijo[86],distinan
hix-306,hix,monɨ,m o n ɨ,,hixkaryanaderby1985[7],distinan
ikp-307,ikp,mun,m u n,,ikpengpacheco2001[119],distinan
kar-308,kar,monɨ,m o n ɨ,,courtz2008carib[53],distinan
kax-309,kax,monɨ,m o n ɨ,,,distinan
mak-310,mak,məənɨ,m əə n ɨ,,maquiritaricaceres2011[122],distinan
pan-311,pan,mu(h),m u h,,panarepayne2013[89],distinan
PPar-312,PPar,monɨ,m o n ɨ,,,distinan
PTar-313,PTar,mənɨ,m ə n ɨ,,meira1998proto[67],distinan
PWai-314,PWai,monɨ,m o n ɨ,,,distinan
PXin-315,PXin,mon,m o n,,,distinan
tri-316,tri,mə(nɨ),m ə n ɨ,,triomeira1999[154],invisinan
wai-317,wai,mɨnɨ,m ɨ n ɨ,,,distinan
way-318,way,mɨn(ɨ),m ɨ n ɨ,,wayanatavares2005[184],distinan
yab-319,yab,mənɨ,m ə n ɨ,,muller2021yawarana,distinan
apa-320,apa,monoʔne,m o n o + ʔ n e,,koehn1986apalai[95],distinanpl
ikp-321,ikp,mujam,m u + j a m,,ikpengpacheco2001[119],distinanpl
kar-322,kar,monɨkon,m o n ɨ + k o n,,courtz2008carib[53],distinanpl
tri-323,tri,mənto(mo),m ə n + t o m o,,triomeira1999[154],invisinanpl
way-324,way,mɨn(ɨ)komo,m ɨ n ɨ + k o m o,,wayanatavares2005[184],distinanpl
aka-325,aka,kɨrə,k ɨ + r ə,,stegeman2014akawaio[85],medanim
aku-326,aku,məkɨrə,m ə k ɨ + r ə,,meiraDBakuriyo,medanim
apa-327,apa,mokɨro,m o k ɨ + r o,,koehn1986apalai[95],medanim
bak-328,bak,awəkə,a + w ə k ə,,meiraDBbakairi,medanim
car-329,car,məkə,m ə k + ə,,guerrero2019carijo[86],distanim
hix-330,hix,mokro,m o k + r o,,hixkaryanaderby1985[7],medanim
ing-331,ing,kɨrə(rə),k ɨ + r ə + r ə,,cruz2005fonologia[162],3anaanim
kar-332,kar,moʔko,m o ʔ k + o,"If really reflex of EMP, unexpected form.",courtz2008carib[53],medanim
kax-333,kax,mokoro,m o k o + r o,,,medanim
mac-334,mac,mɨɨkɨrɨ,m ɨɨ k ɨ + r ɨ,,,medanim
mak-335,mak,məʔrə,m ə ʔ + r ə,,maquiritaricaceres2011[122],proxanim
pan-336,pan,kən,k ə + n,,panarepayne2013[89],invisanim
pem-337,pem,məʔrə,m ə ʔ + r ə,,swiggers2010gramatica[120],medanim
PPar-338,PPar,mokoro,m o k o + r o,,,medanim
PPem-339,PPem,məkɨ(rə),m ə k ɨ + r ə,,,medanim
PPP-340,PPP,məkɨ(rə),m ə k ɨ + r ə,,,medanim
PTar-341,PTar,məkɨrə,m ə k ɨ + r ə,,meira1998proto[67],medanim
PWai-342,PWai,mokro,m o k + r o,,,medanim
tam-343,tam,krere,k + r e + r e,Probably krərə or krɨrɨ.,meira2002first[269],medanim
tri-344,tri,məərə,m əə + r ə,,triomeira1999[154],medanim
wai-345,wai,mɨkro,m ɨ k + r o,,,medanim
way-346,way,məkrə(rə),m ə k + r ə + r ə,,wayanatavares2005[184],medanim
apa-347,apa,mokaro,m o k + a + r o,,koehn1986apalai[95],medanimpl
car-348,car,məkamoro,m ə k + a m o + r o,,guerrero2019carijo[86],distanimpl
hix-349,hix,mokjamo,m o k + j a m o,,hixkaryanaderby1985[7],medanimpl
ing-350,ing,mɨkɨjamə,m ɨ k ɨ + j a m ə,,cruz2005fonologia[191],medanimpl
ing-351,ing,kamo(ro),k + a m o + r o,,cruz2005fonologia[191],3anaanimpl
kar-352,kar,moʔkaro(n),m o ʔ k + a + r o + n,Final /n/ only in eastern Surinamese.,courtz2008carib[53],medanimpl
kax-353,kax,mokjarɨ,m o k + j a + r ɨ,,,medanimpl
mac-354,mac,inkamoro,i + n k + a m o + r o,Assimilation of rə to ro / *-jamo _,,medanimpl
mak-355,mak,kanno,k + a n + n o,Assimilation of rə to ro / *-jamo _,maquiritaricaceres2011[122],medanimpl
pan-356,pan,kamənton,k + a m ə + n + t o n,,panarepayne2013[89],invisanimpl
PTar-358,PTar,məkɨrəjamo,m ə k ɨ + r ə + j a m o,,,medanimpl
tam-359,tam,kiamoro,k + i a m o + r o,Probably k(ɨ)jamoro.,meira2002first[269],medanimpl
tri-360,tri,məəja(mo),m əə + j a m o,,triomeira1999[154],medanimpl
way-361,way,məkja(rə),m ə k + j a + r ə,,wayanatavares2005[184],medanimpl
aka-362,aka,mərə,m ə r ə,,stegeman2014akawaio[197],medinan
aku-363,aku,mərə,m ə r ə,,meira1998proto[174],medinan
apa-364,apa,moro,m o r o,,koehn1986apalai[95],medinan
ara-365,ara,moro,m o r o,,alves2017arara[125],medinan
bak-366,bak,mərə,m ə r ə,,meira2005southern[180],medinan
