"Language_ID","Form","Parameter_ID","Cognateset_ID","Cognates","Source","Comments"
"PPek","t͡ʃi+mna","1+3","1+3","ti+1a3",,
"PTir","əmə+n+jamo","2PL","2PL","2+?+PL-2",,
"PPek","əmə+rə+?","2PL","2PL","2+EMP+?",,
"PPP","amə+rə+?","2PL","2PL","2+EMP+?",,
"aka","amə+rə+ʔno+kon","2PL","2PL","2+EMP+?+PL-1","akawaiocaesar2003[520]",
"ing","amə+rə+ʔno+kon","2PL","2PL","2+EMP+?+PL-1","cruz2005fonologia[162]",
"PPem","amə+rə+ʔno+kon","2PL","2PL","2+EMP+?+PL-1",,
"apa","ama+ra+komo","2PL","2PL","2+EMP+PL-1","koehn1986apalai[95]",
"ara","omo+ro+ŋmo","2PL","2PL","2+EMP+PL-1","souza1993arara",
"ikp","om+ro+ŋmo","2PL","2PL","2+EMP+PL-1","ikpengpacheco2001[119]",
"bak","əma+r+emo","2PL","2PL","2+EMP+PL-2","meira2005bakairi",
"yuk","amo+r+a","2PL","2PL","2+EMP+PL-2","meira2003primeras",
"way","əmə+r+am+komo","2PL","2PL","2+EMP+PL-2+PL-1","wayanatavares2005[180]",
"pan","amə+n+ton","2PL","2PL","2+EMP+PL-3","panarepayne2013[88]",
"wmr","amɨ+rɨ+tɨ","2PL","2PL","2+EMP+PL-3","meira2002first[258]",
"aku","əmə+n+jamo","2PL","2PL","2+mform+PL-2","meira1998proto[64]",
"PTar","ə+n+jamo","2PL","2PL","2+mform+PL-2","meira1998proto[64]",
"tri","əmə+n+jamo","2PL","2PL","2+mform+PL-2","triomeira1999[152]",
"car","a+ɲ+amo+ro","2PL","2PL","2+mform+PL-2+EMP","guerrero2019carijo[76]","ɲ is from mə+j"
"mak","ə+n+wan+no","2PL","2PL","2+mform+PL-2+EMP","maquiritaricaceres2011[167]",
"map","a+kon+tomo","2PL","2PL","2+PL-1+PL-3","mattei2003pemono[48]",
"pno","mo+kon+tomo","2PL","2PL","2+PL-1+PL-3","mattei2003pemono[48]",
"PMan","mə+kon+tomo","2PL","2PL","2+PL-1+PL-3",,
"yab","mo+n+tomo","2PL","2PL","2+PL-1+PL-3","mattei2003pemono[49]",
"hix","om+ɲamo","2PL","2PL","2+PL-2","hixkaryanaderby1985[7]",
"kax","om+ja+rɨ","2PL","2PL","2+PL-2+EMP",,
"PPar","om+jam(+ro)","2PL","2PL","2+PL-2+EMP",,
"PWai","om+jam(+ro)","2PL","2PL","2+PL-2+EMP",,
"wai","am+jam+ro","2PL","2PL","2+PL-2+EMP",,
"uxc","am+a+ɣo","2PL","2PL","2+PL-2+EMP","kuikurodossantos2007[55]",
"kar","amɨ+ja+ro(+n)","2PL","2PL","2+PL-2+EMP+?","courtz2008carib[52]","Final /n/ only in eastern Surinamese."
