ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source,Contribution_ID
400_3,400,pl1,4,- k o n -,,pronouns
401_0,401,ainan,1,i r o,,pronouns
402_0,402,ainan,1,ɨ r o,,pronouns
403_0,403,ainan,1,ɨ l e,,pronouns
404_0,404,ainan,1,e r o,,pronouns
405_0,405,ainan,1,i r ə,,pronouns
405_1,405,pl3,2,t o m o,,pronouns
406_0,406,dinan,1,m ə n -,,pronouns
406_1,406,pl3,2,t o m o,,pronouns
407_0,407,manim,1,- m ə - k ɨ,,pronouns
408_0,408,manim,1,e k i - - -,,pronouns
409_0,409,manim,1,ee k i - - -,,pronouns
410_0,410,manim,1,- m ə - k ɨ,,pronouns
410_1,410,pl2,2,- j a m o,,pronouns
411_0,411,minan,1,m ə r ə,,pronouns
412_0,412,pinan1,1,s ə r ə,,pronouns
413_0,413,pinan1,1,s ɨ h -,,pronouns
413_1,413,pl1,2,- k o n -,,pronouns
414_0,414,pinan1,1,s e r ə,,pronouns
414_1,414,pl3,2,t o m o,,pronouns
415_0,415,pinan2,1,s e n -,,pronouns
415_1,415,pl3,2,t o m o,,pronouns
416_0,416,toto,1,t o ʔ -,,pronouns
417_0,417,toto,1,t o ʔ -,,pronouns
447_0,447,2,1,- ə m -,,pronouns
447_1,447,pl2,2,- j a m o,,pronouns
448_0,448,2,1,- a m -,,pronouns
448_1,448,pl2,2,- ɲ a m o,,pronouns
448_2,448,emp,3,r o,,pronouns
449_0,449,1a2,1,k i,,pronouns
449_1,449,wform,2,w e,,pronouns
450_0,450,1a2,1,k i,,pronouns
450_1,450,pl2,2,- k e m o,,pronouns
451_0,451,1a2,1,k ɨ,,pronouns
451_1,451,mform,2,- m o,,pronouns
451_2,451,emp,3,r o,,pronouns
452_0,452,1a2,1,k ɨ,,pronouns
452_1,452,mform,2,- m o,,pronouns
452_2,452,pl2,3,- j a - -,,pronouns
452_3,452,emp,4,r o,,pronouns
